Time,zone_id,no_of_ppl,zone_name
09:00:00,1,0,Pantry
09:05:00,1,0,Pantry
09:11:00,1,0,Pantry
09:16:00,1,0,Pantry
09:21:00,1,0,Pantry
09:26:00,1,0,Pantry
09:32:00,1,0,Pantry
09:37:00,1,0,Pantry
09:42:00,1,1,Pantry
09:47:00,1,3,Pantry
09:52:00,1,3,Pantry
09:58:00,1,4,Pantry
10:03:00,1,4,Pantry
10:08:00,1,7,Pantry
10:13:00,1,5,Pantry
10:19:00,1,8,Pantry
10:24:00,1,6,Pantry
10:29:00,1,6,Pantry
10:34:00,1,7,Pantry
10:40:00,1,9,Pantry
10:45:00,1,12,Pantry
10:50:00,1,10,Pantry
10:55:00,1,10,Pantry
11:00:00,1,10,Pantry
11:06:00,1,10,Pantry
11:11:00,1,11,Pantry
11:16:00,1,15,Pantry
11:21:00,1,16,Pantry
11:27:00,1,20,Pantry
11:32:00,1,17,Pantry
11:37:00,1,13,Pantry
11:42:00,1,11,Pantry
11:48:00,1,10,Pantry
11:53:00,1,14,Pantry
11:58:00,1,15,Pantry
12:03:00,1,17,Pantry
12:09:00,1,15,Pantry
12:14:00,1,18,Pantry
12:19:00,1,16,Pantry
12:24:00,1,14,Pantry
12:30:00,1,17,Pantry
12:35:00,1,16,Pantry
12:40:00,1,18,Pantry
12:45:00,1,15,Pantry
12:51:00,1,17,Pantry
12:56:00,1,17,Pantry
13:01:00,1,17,Pantry
13:06:00,1,22,Pantry
13:12:00,1,20,Pantry
13:17:00,1,24,Pantry
13:22:00,1,23,Pantry
13:27:00,1,20,Pantry
13:33:00,1,21,Pantry
13:38:00,1,17,Pantry
13:43:00,1,16,Pantry
13:48:00,1,21,Pantry
13:54:00,1,23,Pantry
13:59:00,1,19,Pantry
14:04:00,1,19,Pantry
14:09:00,1,21,Pantry
14:15:00,1,16,Pantry
14:20:00,1,16,Pantry
14:25:00,1,18,Pantry
14:30:00,1,24,Pantry
14:36:00,1,21,Pantry
14:41:00,1,17,Pantry
14:46:00,1,17,Pantry
14:51:00,1,15,Pantry
14:57:00,1,16,Pantry
15:02:00,1,15,Pantry
15:07:00,1,16,Pantry
15:12:00,1,16,Pantry
15:18:00,1,18,Pantry
15:23:00,1,15,Pantry
15:28:00,1,17,Pantry
15:33:00,1,17,Pantry
15:39:00,1,23,Pantry
15:44:00,1,22,Pantry
15:49:00,1,20,Pantry
15:54:00,1,17,Pantry
16:00:00,1,13,Pantry
16:05:00,1,13,Pantry
16:10:00,1,15,Pantry
16:15:00,1,12,Pantry
16:21:00,1,12,Pantry
16:26:00,1,13,Pantry
16:31:00,1,11,Pantry
16:36:00,1,9,Pantry
16:42:00,1,10,Pantry
16:47:00,1,7,Pantry
16:52:00,1,5,Pantry
16:57:00,1,5,Pantry
17:03:00,1,3,Pantry
17:08:00,1,3,Pantry
17:13:00,1,3,Pantry
17:18:00,1,2,Pantry
17:24:00,1,2,Pantry
17:29:00,1,2,Pantry
17:34:00,1,2,Pantry
17:40:00,1,2,Pantry
17:45:00,1,2,Pantry
17:50:00,1,1,Pantry
17:55:00,1,1,Pantry
09:00:00,2,0,Retail Shop
09:05:00,2,0,Retail Shop
09:11:00,2,0,Retail Shop
09:16:00,2,0,Retail Shop
09:21:00,2,1,Retail Shop
